Ulasan,clean,cleanStemming,word_count,English,sentiment,Vader_Sentiment
contrast ratio ngk kaya oled tapi jauh lebih bagus daripada panelpanel ips,contrast ratio ngga kaya oled jauh lebih bagus panelpanel ips,contrast ratio ngga kaya oled jauh lebih bagus panelpanel ips,12,The contrast ratio is not like OLED is much better Panelpanel IPS,0.1999,Positive
barang nyampe dalam keadaan bagus meskipun packing nya ga pake kayu tapi dikasih bubble wrap tebal biar aman,barang nyampe keadaan bagus meskipun packing nyanggapake kayu dikasih bubble wrap tebal aman,barang nyampe ada bagus meski packing nyanggapake kayu kasih bubble wrap tebal aman,18,Goods arrived in good condition even though the packing of wood was given a thick bubble wrap,0.4404,Positive
seller fast response earcupnya lembut best value headset sound mantap nyaman dan praktis tinggal plug play,seller fast response earcupnya lembut best value headset sound mantap nyaman praktis tinggal plug play,seller fast response earcupnya lembut best value headset sound mantap nyaman praktis tinggal plug play,16,Seller Fast Response Earcup Soft Best Value Headset Sound Sound is comfortable Practical Staying Plug Play,0.9062,Positive
barang kualitas bagus pelayanan cepat pengiriman aman,barang kualitas bagus pelayanan cepat pengiriman aman,barang kualitas bagus layan cepat kirim aman,7,Good quality items for fast delivery service safe,0.7003,Positive
belum di pasang nunggu part yg lain dl edit lg besok setelah dipasang,pasang nunggu part dulu edit besok dipasang,pasang nunggu part dulu edit besok pasang,13,Put the Part First Edit Tomorrow Installed,0.0,Neutral
beli buat kado udah dikasih tapi belom di coba semoga aman aja yaa,beli buat kado udah dikasih belom coba semoga aman aja yaa,beli buat kado udah kasih bom coba moga aman aja yaa,13,"Buy for gifts, I haven't given it yet, I haven't tried it, I hope it is safe",0.7003,Positive
barang bagus pelayanan baik sukses terus msi indonesia,barang bagus pelayanan baik sukses terus msi indonesia,barang bagus layan baik sukses terus msi indonesia,8,Good Goods Good Services Success Continue MSI Indonesia,0.8591,Positive
nicely fit,nicely fit,nicely fit,2,Nicely Fit,0.6597,Positive
garansi resmi admin fast respon barang bagus dan berkualitas,garansi resmi admin fast respon barang bagus berkualitas,garansi resmi admin fast respon barang bagus kualitas,9,Official Guarantee Admin Fast Response Good Quality Goods,0.5994,Positive
garansi resmi respon admin cepat barang bagus dan berkualitas,garansi resmi respon admin cepat barang bagus berkualitas,garansi resmi respon admin cepat barang bagus kualitas,9,Official Guarantee Admin Response Fast Good Quality Goods,0.5994,Positive
good,good,good,1,Good,0.4404,Positive
saran aja sih jangan tunggu kurir yang jemput barang kalo seandainya barangnya banyak overall semuanya bagus pelayanan juga ramah,saran aja jangan tunggu kurir jemput barang seandainya barangnya banyak overall semuanya bagus pelayanan ramah,saran aja jangan tunggu kurir jemput barang anda barang banyak overall semua bagus layan ramah,19,"advice just don't wait for the courier to pick up items if the goods are many overalls, everything is good",0.4404,Positive
beli instan langsung pasang di lenovo legion seri mhh intel gtx ti walaupun ini ddr tapi masih bisa backward compatible ke slot ddr laptopnya pas sam,beli instan langsung pasang lenovo legion seri mhh intel gtx ti walaupun ddr bisaa backward compatible slot ddr laptopnya pas sam,beli instan langsung pasang lenovo legion seri mhh intel gtx ti walaupun ddr bisaa backward compatible slot ddr laptop pas sam,26,Buy instant directly install Lenovo Legion MHH Intel GTX TI series even though DDR can backward compatible DDR slot slot right,0.0,Neutral
kualitas bagusseller komunikatif dan fast responsepackaging tebal dan aman,kualitas bagusseller komunikatif fast responsepackaging tebal aman,kualitas bagusseller komunikatif fast responsepackaging tebal aman,9,good quality communicative seller fast response packaging thick safe,0.7003,Positive
bagus datang di kondisi brand new semua fitur berfungsi dengan baik,bagus datang kondisi brand new semua fitur berfungsi baik,bagus datang kondisi brand new semua fitur fungsi baik,11,good coming brand new condition all features functioning well,0.6124,Positive
mouse enak dipakai button ada sayang nggak bisa di program,mouse enak dipakai button sayang ngga bisaa program,mouse enak pakai button sayang ngga bisaa program,10,a good mouse to use button unfortunately can't program,0.128,Positive
mantap bisa rotate jd potrait thanks semoga awet,mantap bisaa rotate jadi potrait thanks semoga awet,mantap bisaa rotate jadi potrait thanks moga awet,8,great can be rotate so potential thanks for it to be durable,0.8062,Positive
barangnya bagus sesuai spek,barangnya bagus sesuai spek,barang bagus sesuai spek,4,the item is good according to the spec,0.4404,Positive
barang sesuai sama tampilannya respon cepat cm dapat distrubor yg bukan biasanya mudahan servis centernya sama tinggal dicoba fungsinya sesuai deskripsi mudahan awet,barang sesuai sama tampilannya respon cepatcumadapat distrubor bukan biasanya mudahan servis centernya sama tinggal dicoba fungsinya sesuai deskripsi mudahan awet,barang sesuai sama tampil respon cepatcumadapat distrubor bukan biasa mudah servis centernya sama tinggal coba fungsi sesuai deskripsi mudah awet,23,"the item in accordance with the same appearance is the response of the FASTCUMDAH, the distribution of the distribution is not usually the same service center, just try the function according to the description, hopefully it lasts durable",0.4019,Positive
mantab barang ok puji tuhan sampai dengan selamat dan aman jaya,mantap barang puji tuhan selamat aman jaya,mantap barang puji tuhan selamat aman jaya,11,great items praise God happy safe jaya,0.9468,Positive
terbaik fast respon pengiriman cepat packing super duper rapi kualitas barang original pastinya recomender seller,terbaik fast respon pengiriman cepat packing super duper rapi kualitas barang original pastinya recomender seller,baik fast respon kirim cepat packing super duper rapi kualitas barang original pasti recomender seller,15,Best Fast Fast Delivery Response Packing Super Duper Neat Quality Original Goods Certainly Recommended Seller,0.9485,Positive
peforma bagus barang sesuai spesifikasi,peforma bagus barang sesuai spesifikasi,forma bagus barang sesuai spesifikasi,5,good performance of goods according to specifications,0.4404,Positive
semoga awet,semoga awet,moga awet,2,I hope it lasts,0.4404,Positive
ok mantap,mantap,mantap,2,Excellent,0.5719,Positive
barang sudah diterima dan semoga awet bossss quhhhhhhhh,barang diterima semoga awet bossss ku,barang terima moga awet bossss ku,8,"items are received, hopefully my bossss durable",0.4019,Positive
istimewa sudah dipasang mormal,istimewa dipasang mormal,istimewa pasang mormal,4,special installed normally,0.4019,Positive
saya baru saja membeli ssd msi spatium dengan kapasitas tb untuk lenovo thinkpad l gen saya dan berikut adalah pengalaman saya sejauh ini pemasangan ssd msi spati,baru membeli ssd msi spatium kapasitas tb lenovo thinkpad gen berikut pengalaman sejauh pemasangan ssd msi spati,baru beli ssd msi spatium kapasitas tb lenovo thinkpad gen ikut alam jauh pasang ssd msi spati,27,just bought SSD MSI Spatium TB Capacity Lenovo ThinkPad Gen Following experience as far as the installation of SSD MSI SPATI,0.0,Neutral
alhamdulillah barang nya udah sampai dengan selamat semoga berkah,alhamdulillah barang udah selamat semoga berkah,alhamdulillah barang udah selamat moga berkah,9,"Alhamdulillah, the item is safe, hopefully a blessing",0.8316,Positive
respon lumayan cepat psu nya selamat dan berfungsi ekspedisinya nggak bener kerjanya karena kondisi packagingnya berlubang seperti di robek dan basah kemasukan air pur,respon lumayan cepat psu selamat berfungsi ekspedisinya ngga bener kerjanya kondisi packagingnya berlubang robek basah kemasukan air pur,respon lumayan cepat psu selamat fungsi ekspedisi ngga bener kerja kondisi packagingnya lubang robek basah masuk air pur,24,"The response is pretty fast, PSU happy functions, the expedition is not really working, the condition of the packaging has a torn hole wet.",0.7096,Positive
oke nyampe dengan selamat dan baik kondisinya untuk test blm dilakukan semoga berfungsi dengan baik gud job,oke nyampe selamat baik kondisinya test dilakukan semoga berfungsi baikgoodjob,oke nyampe selamat baik kondisi test laku moga fungsi baikgoodjob,17,"Okay, arrive in good condition, the condition of the test is done, hopefully it works well, good job",0.8885,Positive
sudah pernah menggunakan produk monitor msi lain selama hampir tahun sebelumnya dan reliable,pernah menggunakan produk monitor msi selama hampir tahun sebelumnya reliable,pernah guna produk monitor msi lama hampir tahun belum reliable,13,Have used MSI monitor products for almost the previous year's reliable,0.0,Neutral
fast respond seller sat set klik order langsung kirim low budget monitor kualitas oke buat game di rentang harga segini cuma ini thanks,fast respond seller sat set klik order langsung kirim low budenganet monitor kualitas oke buat game rentang harga segini cuma thanks,fast respond seller sat set klik order langsung kirim low budenganet monitor kualitas oke buat game rentang harga gin cuma thanks,23,Fast Respond Seller Sat Set Click Order Directly Send Low Budengan Monitor Quality Okay For Game Range Prices This is just thanks,0.4019,Positive
belum dicoba pengiriman cepat,dicoba pengiriman cepat,coba kirim cepat,4,try fast shipping,0.0,Neutral
keren setelah dipakai jadi alus bet semoga awet trouble,keren dipakai jadi alus banget semoga awet trouble,keren pakai jadi alus banget moga awet trouble,9,"cool to use it so it's really alus, hopefully durable trouble",0.3774,Positive
gg msi udh paling mantep dah,gg msi udah paling mantep dah,gg msi udah paling mantep dah,6,gg msi is the best,0.7506,Positive
mantaaaappp,mantap,mantap,1,Excellent,0.5719,Positive
sempat bermasalah karena dongle tp cs msi sangat helpful mencarikan solusi setelah ganti dongle monitor bekerja dgn lancar,sempat bermasalah dongle cs msi sangat helpful mencarikan solusi ganti dongle monitor bekerja lancar,sempat masalah dongle cs msi sangat helpful cari solusi ganti dongle monitor kerja lancar,18,Had a problem with Dongle CS MSi very helpful to find a solution to change the Monitor Dongle Work smoothly,0.4005,Positive
ok,,,1,,0.0,Neutral
produk sudah diterima dengan baik menyalanyala bossque,produk diterima baik menyalanyala bossque,produk terima baik menyalanyala bossque,7,good accepted products,0.6124,Positive
sudah menyala dengan baik setingan bisa sampai hz sesuai dengan deskripsi pokoknya recommended,menyala baik setingan bisaa hz sesuai deskripsi pokoknya recommended,nyala baik ting bisaa hz sesuai deskripsi pokok recommended,13,LIGHT Good settings can be Hz according to the description of the main recommended description,0.5719,Positive
produk lengkap sesuai dengan deskripsi pc juga sudah bisa dinyalakan dan siap tempur,produk lenggaap sesuai deskripsi pc bisaa dinyalakan siap tempur,produk lenggaap sesuai deskripsi pc bisaa nyala siap tempur,13,Lenggaap products according to the PC description can be turned on ready for combat,0.0258,Positive
produk sangat lengkap sesuai dengan panduan terregistrasi juga pc sudah nyala dan siap tempur,produk sangat lenggaap sesuai panduan terregistrasi pc nyala siap tempur,produk sangat lenggaap sesuai pandu terregistrasi pc nyala siap tempur,14,The product is very close according to the PC registration guide on a combat ready,0.0258,Positive
mantap berfungsi dengan baik,mantap berfungsi baik,mantap fungsi baik,4,great functioning well,0.7351,Positive
kualitas bagus,kualitas bagus,kualitas bagus,2,good quality,0.4404,Positive
thanks buat msi shop id tokopedia dan expedition team semoga sukses selalu packing dengan bubble wrap super duper tebal banget sudah pasti aman w,thanks buat msi shop id tokopedia expedition team semoga sukses selalu packing bubble wrap super duper tebal banget aman,thanks buat msi shop id tokopedia expedition team moga sukses selalu packing bubble wrap super duper tebal banget aman,24,"Thanks for Msi Shop Id Tokopedia Expedition Team, good luck always packing bubble wrap super duper very thick",0.9136,Positive
original,original,original,1,Original,0.3182,Positive
rekomended seller,rekomended seller,rekomended seller,2,Recommended Seller,0.2023,Positive
gudd,good,good,1,Good,0.4404,Positive
respon cepat dan packing aman,respon cepat packing aman,respon cepat packing aman,5,SAFE PACKING FAST RESPONSE,0.4404,Positive
mantap barangnya nyaman dan praktis tinggal plug play best value mouse,mantap barangnya nyaman praktis tinggal plug play best value mouse,mantap barang nyaman praktis tinggal plug play best value mouse,11,great the item is comfortable practically staying plug play best value mouse,0.9468,Positive
proses cepatpelayanan nya okmudahan awet,proses cepatapielayanan okmudahan awet,proses cepatapielayanan okmudahan awet,5,the process of fast service is okay durable,0.2263,Positive
mantap barang bagus madep kualitas jangan di ragulan tb speed madep,mantap barang bagus madep kualitas jangan ragulan tb speed madep,mantap barang bagus madep kualitas jangan ragulan tb speed madep,11,great good item madep quality do not ragulan tb speed madep,0.7906,Positive
mantap monitor impian akhirnya kebeli jg,mantap monitor impian akhirnya kebeli,mantap monitor impi akhir kebel,6,Great Monitor Dream finally bought,0.7269,Positive
mantapp,mantap,mantap,1,Excellent,0.5719,Positive
mantap kali packingnya bagus,mantap kali packingnya bagus,mantap kali packingnya bagus,4,great packing times good,0.7906,Positive
barang ori respon penjual ramah pengiriman cepat,barang ori respon penjual ramah pengiriman cepat,barang ori respon jual ramah kirim cepat,7,Origi Item Response Seller Sellers Fast Shipping,0.0,Neutral
kiriman cepat barang mantap,kiriman cepat barang mantap,kirim cepat barang mantap,4,fast shipment,0.0,Neutral
peforma pc ini mantap udah pake processor terbaru dan gtx series yg kencang semua game bisa dijalankan dgn fps max pilihan yg bagus bgt buat gamer dan harga pun te,peforma pc mantap udah pake processor terbaru gtx series kencang semua game bisaa dijalankan fps max pilihan bagus banget buat gamer harga te,forma pc mantap udah pake processor baru gtx series kencang semua game bisaa jalan fps max pilih bagus banget buat gamer harga te,30,PC performance is already using the latest GTX series processor all the games all games can run FPS Max really good choice for gamers.,0.4927,Positive
mantaaab,mantap,mantap,1,Excellent,0.5719,Positive
packing bagus dan rapi pengiriman cepat,packing bagus rapi pengiriman cepat,packing bagus rapi kirim cepat,6,Good Packing Neat Fast Delivery,0.7096,Positive
belum di coba semoga awet,coba semoga awet,coba moga awet,5,Try to last durable,0.0,Neutral
barang sudah diterima degan baik,barang diterima degan baik,barang terima degan baik,5,Goods well received,0.2732,Positive
barang datang dengan packing bubble tebal ssd sendiri cepat dengan harga terjangkau,barang datang packing bubble tebal ssd sendiri cepat harga terjanggaau,barang datang packing bubble tebal ssd sendiri cepat harga terjanggaau,12,goods come packing bubble thick ssd itself fast affordable prices,0.0,Neutral
barang bagus packing rapi berfu gsindengan baik,barang bagus packing rapi berfu gsindengan baik,barang bagus packing rapi berfu gsindengan baik,7,Nice good packing items function properly,0.6908,Positive
gg wp,gg wp,gg wp,2,GG WP,0.4939,Positive
ssd berfungsi dengan baik,ssd berfungsi baik,ssd fungsi baik,4,SSD functions well,0.2732,Positive
recommended product trusted seller,recommended product trusted seller,recommended product trusted seller,4,Recommended Product Trusted Seller,0.5994,Positive
packing sangat baik barang berfungsi dengan sangat baik,packing sangat baik barang berfungsi sangat baik,packing sangat baik barang fungsi sangat baik,8,very good packing items function very well,0.6794,Positive
barang diterima dalam keadaan baik tapi tidak menyala,barang diterima keadaan baik menyala,barang terima ada baik nyala,8,the item is received a good condition,0.4404,Positive
barang original dan mantap sesuai deskripsi packing aman pelayanan cepat,barang original mantap sesuai deskripsi packing aman pelayanan cepat,barang original mantap sesuai deskripsi packing aman layan cepat,10,original original items according to the description of the packing safe service fast,0.7579,Positive
seller responsif dan membantu,seller responsif membantu,seller responsif bantu,4,Responsive seller helps,0.6249,Positive
nyaman dan praktis tinggal plug play,nyaman praktis tinggal plug play,nyaman praktis tinggal plug play,6,Practically comfortable staying plug play,0.6908,Positive
semoga awet mantap oke punya bagus sip,semoga awet mantap oke punya bagus sip,moga awet mantap oke punya bagus sip,7,"I hope it lasts so good, okay, I have good",0.8938,Positive
barang sudah di terima packing rapih dan aman barang sesuai pesanan dan berfungsi dengan baik,barang terima packing rapih aman barang sesuai pesanan berfungsi baik,barang terima packing rapih aman barang sesuai pesan fungsi baik,15,items receive a safe packing of safe goods according to the order functioning well,0.7845,Positive
mendarat sempurna berfungsi normal mantap,mendarat sempurna berfungsi normal mantap,darat sempurna fungsi normal mantap,5,Landing perfectly functions normally great,0.8519,Positive
pelayanan baik,pelayanan baik,layan baik,2,Good service,0.4404,Positive
maaf baru kasih feedback setelah minggu pemakaian monitor sangat bagus layar jernih kualitas bagus gak ada dead pixel penjual juga ramah meskipun thank,maaf baru kasih feedback minggu pemakaian monitor sangat bagus layar jernih kualitas bagus ngga dead pixel penjual ramah meskipun thank,maaf baru kasih feedback minggu pakai monitor sangat bagus layar jernih kualitas bagus ngga dead pixel jual ramah meski thank,23,"Sorry, I just gave the week feedback to use the monitor, a very good good quality screen, not a friendly dead pixel seller even though thank you",0.855,Positive
barang sesuai pesanan dan memuaskan,barang sesuai pesanan memuaskan,barang sesuai pesan muas,5,goods according to satisfying order,0.4588,Positive
positif penjual menjawab berbagai pertanyaan saya dengan cepat dan jelas barang yang saya pesan segera diproses di dalam kardus barang dilengkapi busa sedangkan,positif penjual menjawab berbagai pertanyaan cepat jelas barang pesan segera diproses kardus barang dilenggaapi busa sedanggaan,positif jual jawab bagai tanya cepat jelas barang pesan segera proses kardus barang dilenggaapi busa sedanggaan,23,Positive the seller answers a variety of fast questions. Clearly the item order is immediately processed by a cardboard goods in the field of foam,0.743,Positive
packing kayu kokoh,packing kayu kokoh,packing kayu kokoh,3,Sturdy wood packing,0.0,Neutral
harga termurah semoga ssd nya berjalan dengan baik dan mantap,harga termurah semoga ssd berjalan baik mantap,harga murah moga ssd jalan baik mantap,10,"the cheapest price, hopefully SSD will run well",0.5859,Positive
mantap packing aman dan datang dengan cepat produk juga oke,mantap packing aman datang cepat produk oke,mantap packing aman datang cepat produk oke,10,great packing safe coming fast products okay,0.836,Positive
produk mantappp pengiriman cepat packing aman kardus tidak ada penyok sehingga bisa dipajang,produk mantapp pengiriman cepat packing aman kardus penyok bisaa dipajang,produk mantapp kirim cepat packing aman kardus penyok bisaa pajang,13,steady product fast delivery packing safe cardboard can be displayed,0.4404,Positive
barang bagus rekomen untuk yang mau buat pc,barang bagus rekomen mau buat pc,barang bagus rekomen mau buat pc,8,good items recommended to make a pc,0.5719,Positive
sanggap pas sekali untuk bermain game fps,sangat pas sekali bermain game fps,sangat pas sekali main game fps,7,Very fitting once playing FPS games,0.2648,Positive
terimakasih,terimakasih,terimakasih,1,Thank You,0.3612,Positive
mantep beli di sini penjual ramah sabar ditanyain orang kek saya heheh barang josss,mantep beli sini penjual ramah sabar ditanyain orang kek heheh barang josss,mantep beli sini jual ramah sabar ditanyain orang kek heheh barang josss,14,great buy here a friendly seller patiently asked by people kek heheh stuff josss,0.8074,Positive
barang asli sesuai pesanan packing sangat baik mantap,barang asli sesuai pesanan packing sangat baik mantap,barang asli sesuai pesan packing sangat baik mantap,8,Original items according to the packing order are very good,0.6697,Positive
produk ok gambar bagus packing rapi good seller,produk gambar bagus packing rapi good seller,produk gambar bagus packing rapi good seller,8,Good Packing Packing Product Neat Good Seller,0.8316,Positive
pengiriman cepat packing super rapih barangnya original dan kenceng banget,pengiriman cepat packing super rapih barangnya original kenceng banget,kirim cepat packing super rapih barang original kenceng banget,10,Fast shipping packing super neatly original goods are very fast,0.8225,Positive
berfungsi dengan baik semoga awet,berfungsi baik semoga awet,fungsi baik moga awet,5,"Function well, hopefully durable",0.5859,Positive
packaging rapi dan aman dikasih bubble wrap sehingga tidak ada kerusakan ketika sampai tujuan kualitas gambar juga ciamik smooth banget scroll dan transition animation,packaging rapi aman dikasih bubble wrap kerusakan tujuan kualitas gambar ciamik smooth banget scroll transition animation,packaging rapi aman kasih bubble wrap rusa tuju kualitas gambar ciamik smooth banget scroll transition animation,24,Neat packaging is safe to be given bubble wrap damage destination image quality Ciamik Smooth really scroll transition animation,0.4019,Positive
spesifikasi memadai untuk desain buku garansi resmi dapat keyboard msi vigor gk dan mouse msi proses cepat pesan siang menjelang senja sudah di rumah good job msi,spesifikasi memadai desain buku garansi resmi keyboard msi vigor ngga mouse msi proses cepat pesan siang menjelang senja rumah good job msi,spesifikasi pada desain buku garansi resmi keyboard msi vigor ngga mouse msi proses cepat pesan siang jelang senja rumah good job msi,27,Specifications Adequate Design of the Official MSI Vigor Keyboard Warranty Book No Mouse MSI Fast Process Overcoming afternoon,0.2023,Positive
bagus ni monitor budget,bagus ni monitor budenganet,bagus ni monitor budenganet,4,good ni monitor budengan,0.4404,Positive
luar biasa pelayanannya barang bekerja dengan baik,luar biasa pelayanannya barang bekerja baik,luar biasa layan barang kerja baik,7,extraordinary service goods work well,0.2732,Positive
barang bagus,barang bagus,barang bagus,2,Good stuff,0.4404,Positive
pengiriman cepat admin cepat respons,pengiriman cepat admin cepat respons,kirim cepat admin cepat respons,5,Fast Delivery Admin Fast Response,0.0,Neutral
produk sesuai deskripsi pelayanan baik dan cepat,produk sesuai deskripsi pelayanan baik cepat,produk sesuai deskripsi layan baik cepat,7,products according to good service description fast,0.4404,Positive
barang sudah sampai pacing aman banget mantab,barang pacing aman banget mantap,barang pacing aman banget mantap,7,Pacing items are very safe,0.4927,Positive
seller gercep n packaging aman bubble wrap tebal,seller gercep packaging aman bubble wrap tebal,seller gercep packaging aman bubble wrap tebal,8,Seller Gercep Packaging Safe Bubble Wrap Thick,0.4404,Positive
barang berfungsi dengan baiksemoga awet ngga ada kendala,barang berfungsi baiksemoga awet ngga kendala,barang fungsi baiksemoga awet ngga kendala,8,Goods functioning good hopefully durable no obstacles,0.7772,Positive
mantap paket lengkap tinggal pake pc nya,mantap paket lenggaap tinggal pake pc,mantap paket lenggaap tinggal pake pc,7,steady langgaap package just use a pc,0.0,Neutral
kursinya empuk bisa buat santai packing bagus,kursinya empuk bisaa buat santai packing bagus,kursi empuk bisaa buat santai packing bagus,7,"The chair is tender, you can relax the packing is good",0.7003,Positive
puas,puas,puas,1,satisfied,0.4215,Positive
nice speed oke,nice speed oke,nice speed oke,3,nice speed okay,0.5719,Positive
packing barang terbilang aman bisa ditambah lakban fragile biar kurir makin hati hati kondisi barang sampai dengan baik pemakaian hari dari semenjak datang sangat n,packing barang terbilang aman bisaa ditambah lakban fragile kurir makin hati hati kondisi barang baik pemakaian hari semenjak datang sangat,packing barang bilang aman bisaa tambah lakban fragile kurir makin hati hati kondisi barang baik pakai hari semenjak datang sangat,25,Packing items are fairly safe can plus the courier fragile duct tape more carefully the condition of the good use of the day since it comes very,0.7645,Positive
